_id,ID,name,price,category,shortDesc,longDesc,couponCode,expiryDate,image
6600b7d816b9718c6b9b2847,6600b7d816b9718c6b9b2846,Discounted Sneakers,49.99,Footwear,Get stylish sneakers at an amazing price!,"These sneakers are perfect for casual wear or workouts. With a comfortable fit and durable design, they'll become your go-to pair!",SNEAKERDEAL,6/30/24,sneakers.jpg
6600b83516b9718c6b9b284c,6600b83516b9718c6b9b284b,Discounted Sneakers,49.99,Footwear,Get stylish sneakers at an amazing price!,"These sneakers are perfect for casual wear or workouts. With a comfortable fit and durable design, they'll become your go-to pair!",SNEAKERDEAL,6/30/24,sneakers.jpg
6600b83516b9718c6b9b284e,6600b83516b9718c6b9b284d,Tech Gadgets Bundle,299.99,Electronics,Upgrade your tech collection with this bundle!,"This bundle includes a high-speed router, wireless headphones, and a smartwatch. Stay connected and entertained with these top-notch gadgets!",TECHSALE,5/31/24,tech_bundle.jpg
6600b83516b9718c6b9b2854,6600b83516b9718c6b9b2853,Fitness Tracker,79.99,Fitness,Monitor your health and reach your fitness goals!,"Track your steps, monitor your heart rate, and analyze your sleep patterns with this advanced fitness tracker. Stay motivated and active!",,10/31/24,fitness_tracker.jpg
6600b83516b9718c6b9b2856,6600b83516b9718c6b9b2855,Cookware Set,149.99,Kitchen,Upgrade your kitchen with this premium cookware set.,"This cookware set includes everything you need to cook like a pro. From frying pans to saucepans, each piece is designed for durability and performance.",KITCHENSALE,9/30/24,cookware_set.jpg
6600b83516b9718c6b9b2858,6600b83516b9718c6b9b2857,Smart Home Security System,399.99,Home,Protect your home with this advanced security system.,"Monitor your home from anywhere with this smart security system. Receive alerts, view live footage, and keep your family safe with ease.",,11/30/24,home_security_system.jpg
6600b83516b9718c6b9b285a,6600b83516b9718c6b9b2859,Wireless Charging Pad,29.99,Electronics,Charge your devices effortlessly with this wireless charging pad.,Say goodbye to tangled cables and cluttered desks. Simply place your device on this charging pad to power up quickly and conveniently.,WIRELESSDEAL,7/31/24,charging_pad.jpg
6600b83516b9718c6b9b285c,6600b83516b9718c6b9b285b,Yoga Mat,34.99,Fitness,Practice yoga comfortably with this premium mat.,"Made from high-quality materials, this yoga mat provides the perfect balance of comfort and stability. Enhance your practice and find your zen.",,8/31/24,yoga_mat.jpg
6600b83516b9718c6b9b285e,6600b83516b9718c6b9b285d,Portable Bluetooth Speaker,59.99,Electronics,Take your music anywhere with this portable speaker.,"Experience powerful sound quality in a compact design. Whether you're at home or on the go, this Bluetooth speaker delivers impressive audio performance.",,9/30/24,bluetooth_speaker.jpg
6600b83516b9718c6b9b2850,6600b83516b9718c6b9b284f,Luxury Watch,999.99,Accessories,Elegant timepiece for any occasion.,"Crafted with precision and luxury in mind, this watch adds sophistication to your style. Perfect for formal events or everyday wear.",,12/31/24,luxury_watch.jpg
6600b83516b9718c6b9b2852,6600b83516b9718c6b9b2851,Designer Handbag,599.99,Fashion,Make a statement with this stylish handbag!,This designer handbag combines fashion and function seamlessly. Carry your essentials in style with this must-have accessory.,DESIGNERDEAL,8/31/24,designer_handbag.jpg
661ffc56e1f62fb63652207d,661ffc56e1f62fb63652207d,Sporty Running Shoes,59.99,Footwear,Run with style and comfort!,These running shoes offer superior comfort and support for your active lifestyle.,RUN20,8/15/24,running_shoes.jpg
661ffc56e1f62fb63652207e,661ffc56e1f62fb63652207e,Modern Backpack,39.99,Accessories,Sleek and stylish backpack for everyday use.,"This modern backpack is perfect for school, work, or travel, offering durability and space for your belongings.",BAG15,9/10/24,backpack.jpg
661ffc56e1f62fb63652207f,661ffc56e1f62fb63652207f,Premium Headphones,89.99,Electronics,Experience top-quality sound with these headphones.,These headphones provide an immersive audio experience with noise cancellation and clear sound quality.,HEADPHONES20,7/20/24,headphones.jpg
661ffc56e1f62fb636522080,661ffc56e1f62fb636522080,Stylish Sunglasses,29.99,Accessories,Protect your eyes in style!,These sunglasses offer UV protection and a fashionable design for everyday wear.,SUNGLASSES10,6/30/24,sunglasses.jpg
661ffc56e1f62fb636522081,661ffc56e1f62fb636522081,Luxury Wallet,49.99,Accessories,Carry your essentials with elegance.,This luxury wallet features high-quality leather and a sleek design for both men and women.,WALLET15,9/1/24,wallet.jpg
661ffc56e1f62fb636522082,661ffc56e1f62fb636522082,Smart Home Hub,129.99,Electronics,Control your home with ease.,"The smart home hub allows you to manage your devices, lighting, and security system with your voice or phone.",HOMEHUB20,8/25/24,smart_home_hub.jpg
661ffc56e1f62fb636522083,661ffc56e1f62fb636522083,Wireless Gaming Controller,59.99,Electronics,Enhance your gaming experience!,This wireless gaming controller offers precise control and compatibility with most gaming consoles and devices.,GAMING10,7/15/24,gaming_controller.jpg
661ffc56e1f62fb636522084,661ffc56e1f62fb636522084,Elegant Bracelet,39.99,Jewelry,Add a touch of elegance to your style.,"This elegant bracelet features beautiful gemstones and a delicate design, perfect for any occasion.",BRACELET15,6/30/24,bracelet.jpg
661ffc56e1f62fb636522085,661ffc56e1f62fb636522085,Portable Blender,34.99,Kitchen,Blend your favorite drinks on the go!,"This portable blender allows you to make smoothies and shakes anywhere, anytime. Ideal for a healthy lifestyle.",BLENDER10,9/1/24,portable_blender.jpg
661ffc56e1f62fb636522086,661ffc56e1f62fb636522086,Luxury Pillow,59.99,Home,Sleep in comfort with this luxury pillow.,"This pillow is designed for ultimate comfort and support, providing a restful night's sleep every night.",PILLOW20,7/31/24,luxury_pillow.jpg
661ffc56e1f62fb636522087,661ffc56e1f62fb636522087,Eco-friendly Water Bottle,24.99,Lifestyle,Stay hydrated with this reusable water bottle.,This eco-friendly water bottle is perfect for everyday use and helps reduce single-use plastic waste.,WATERBOTTLE10,6/15/24,water_bottle.jpg
661ffc56e1f62fb636522088,661ffc56e1f62fb636522088,Stylish Smartwatch,149.99,Electronics,Stay connected with this stylish smartwatch.,"This smartwatch offers a range of features including fitness tracking, notifications, and more, all in a sleek design.",SMARTWATCH20,8/1/24,smartwatch.jpg
661ffc56e1f62fb636522089,661ffc56e1f62fb636522089,Gaming Mouse,49.99,Electronics,Take your gaming to the next level!,This gaming mouse features customizable buttons and high-precision tracking for an enhanced gaming experience.,MOUSE10,9/15/24,gaming_mouse.jpg
661ffc56e1f62fb63652208a,661ffc56e1f62fb63652208a,Fitness Resistance Bands,19.99,Fitness,Work out anywhere with these resistance bands.,These resistance bands are perfect for home workouts or travel. They provide varying levels of resistance for a full-body workout.,BANDS10,7/31/24,resistance_bands.jpg
661ffc56e1f62fb63652208b,661ffc56e1f62fb63652208b,Mini Projector,129.99,Electronics,Turn any room into a home theater!,"This mini projector offers high-quality images and easy connectivity, making it perfect for movie nights and presentations.",PROJECTOR15,8/20/24,mini_projector.jpg
661ffc56e1f62fb63652208c,661ffc56e1f62fb63652208c,Ergonomic Office Chair,199.99,Furniture,Work in comfort with this ergonomic chair.,This office chair features adjustable settings and lumbar support to ensure maximum comfort during long work hours.,CHAIR15,9/30/24,office_chair.jpg
661ffc56e1f62fb63652208d,661ffc56e1f62fb63652208d,Wireless Charging Stand,34.99,Electronics,Charge your devices effortlessly!,This wireless charging stand allows you to charge your smartphone or tablet without the hassle of cables. Compatible with most devices.,CHARGER15,7/25/24,charging_stand.jpg
661ffc56e1f62fb63652208e,661ffc56e1f62fb63652208e,Coffee Maker,89.99,Kitchen,Brew your favorite coffee at home.,"This coffee maker offers customizable brew settings and a large water tank, perfect for coffee lovers.",COFFEE20,9/1/24,coffee_maker.jpg
661ffc56e1f62fb63652208f,661ffc56e1f62fb63652208f,Smart Thermostat,149.99,Home,Control your home's temperature remotely.,"This smart thermostat allows you to manage your home's heating and cooling with your smartphone, saving energy and money.",THERMOSTAT10,9/10/24,smart_thermostat.jpg
661ffc56e1f62fb636522090,661ffc56e1f62fb636522090,Wireless Earbuds,69.99,Electronics,Enjoy wireless music anywhere!,"These wireless earbuds offer high-quality sound and a comfortable fit, making them perfect for music lovers on the go.",EARBUDS15,8/5/24,earbuds.jpg
661ffc56e1f62fb636522091,661ffc56e1f62fb636522091,Bluetooth Speaker,79.99,Electronics,Take your music on the go!,"This Bluetooth speaker offers high-quality sound and portability, making it perfect for outdoor gatherings or indoor use.",SPEAKER10,7/25/24,bluetooth_speaker.jpg
661ffc56e1f62fb636522092,661ffc56e1f62fb636522092,Portable Power Bank,29.99,Electronics,Keep your devices charged on the go!,This portable power bank provides multiple charges for your devices and is compact enough to carry anywhere.,POWERBANK20,8/1/24,power_bank.jpg
661ffc56e1f62fb636522093,661ffc56e1f62fb636522093,LED Desk Lamp,39.99,Home,Illuminate your workspace with this LED lamp.,"This desk lamp features adjustable brightness and color temperature settings, perfect for reading or working late at night.",DESKLAMP15,7/10/24,desk_lamp.jpg
661ffc56e1f62fb636522094,661ffc56e1f62fb636522094,Fitness Tracker,89.99,Fitness,Monitor your health and activity levels.,"This fitness tracker helps you keep track of your daily steps, heart rate, and sleep patterns, perfect for staying healthy and active.",TRACKER20,8/10/24,fitness_tracker.jpg
661ffc56e1f62fb636522095,661ffc56e1f62fb636522095,Electric Kettle,34.99,Kitchen,Boil water quickly with this electric kettle.,"This electric kettle features fast boiling times and a sleek design, perfect for making tea, coffee, or other hot drinks.",KETTLE15,7/15/24,electric_kettle.jpg
661ffc56e1f62fb636522096,661ffc56e1f62fb636522096,Designer Handbag,179.99,Fashion,Make a statement with this designer handbag.,"This designer handbag combines style and functionality, offering ample space and a luxurious design.",HANDBAG10,9/1/24,designer_handbag.jpg
661ffc56e1f62fb636522097,661ffc56e1f62fb636522097,Wireless Keyboard,49.99,Electronics,Type comfortably with this wireless keyboard.,"This wireless keyboard features an ergonomic design and long battery life, making it ideal for work or gaming.",KEYBOARD15,7/20/24,wireless_keyboard.jpg
661ffc56e1f62fb636522098,661ffc56e1f62fb636522098,Digital Camera,399.99,Electronics,Capture high-quality photos and videos.,"This digital camera offers advanced features and high-resolution imaging, perfect for photography enthusiasts.",CAMERA20,9/15/24,digital_camera.jpg
661ffc56e1f62fb636522099,661ffc56e1f62fb636522099,Noise-Cancelling Headphones,149.99,Electronics,Immerse yourself in high-quality sound.,"These noise-cancelling headphones offer clear audio and powerful noise reduction, perfect for music lovers and travelers.",HEADPHONES10,8/30/24,noise_cancelling_headphones.jpg
661ffc56e1f62fb63652209a,661ffc56e1f62fb63652209a,Gaming Chair,249.99,Furniture,Experience comfort during long gaming sessions.,"This gaming chair features ergonomic design and adjustable settings, providing comfort and support for gamers.",GAMING20,8/5/24,gaming_chair.jpg
661ffc56e1f62fb63652209b,661ffc56e1f62fb63652209b,Wireless Charging Pad,19.99,Electronics,Charge your devices quickly and conveniently.,This wireless charging pad allows you to power up your smartphone without the hassle of cords.,PAD15,9/1/24,charging_pad.jpg
661ffc56e1f62fb63652209c,661ffc56e1f62fb63652209c,Travel Backpack,79.99,Accessories,Explore the world with this travel backpack.,"This backpack offers ample storage and ergonomic design, perfect for travel and adventures.",BACKPACK10,9/15/24,travel_backpack.jpg
661ffc56e1f62fb63652209d,661ffc56e1f62fb63652209d,Espresso Machine,199.99,Kitchen,Make barista-quality espresso at home.,"This espresso machine features customizable settings and a sleek design, perfect for coffee enthusiasts.",ESPRESSO15,9/1/24,espresso_machine.jpg
661ffc56e1f62fb63652209e,661ffc56e1f62fb63652209e,Streaming Media Player,59.99,Electronics,Stream your favorite shows and movies.,"This streaming media player offers access to a variety of streaming services and apps, providing endless entertainment options.",STREAMING15,8/1/24,streaming_media_player.jpg
661ffc56e1f62fb63652209f,661ffc56e1f62fb63652209f,LED Smart Bulbs,19.99,Home,Illuminate your home with smart LED bulbs.,"These LED bulbs offer adjustable color and brightness settings, allowing you to control your lighting with your smartphone.",BULBS10,7/15/24,smart_bulbs.jpg
661ffc56e1f62fb6365220a0,661ffc56e1f62fb6365220a0,Wireless Charging Dock,29.99,Electronics,Charge multiple devices simultaneously.,"This charging dock allows you to power up multiple devices at once, offering convenience and efficiency.",DOCK15,8/10/24,charging_dock.jpg
661ffc56e1f62fb6365220a1,661ffc56e1f62fb6365220a1,Robot Vacuum,199.99,Home,Keep your floors clean effortlessly.,"This robot vacuum offers automated cleaning and smart navigation, making household chores easier than ever.",ROBOT15,8/1/24,robot_vacuum.jpg
661ffc56e1f62fb6365220a2,661ffc56e1f62fb6365220a2,Bluetooth Soundbar,129.99,Electronics,Enhance your audio experience at home.,"This Bluetooth soundbar offers powerful sound and wireless connectivity, perfect for watching movies or listening to music.",SOUNDBAR10,8/5/24,bluetooth_soundbar.jpg
661ffc56e1f62fb6365220a3,661ffc56e1f62fb6365220a3,Smart Doorbell,149.99,Home,Secure your home with this smart doorbell.,"This smart doorbell features video recording and two-way audio, allowing you to see and communicate with visitors remotely.",DOORBELL20,7/20/24,smart_doorbell.jpg
661ffc56e1f62fb6365220a4,661ffc56e1f62fb6365220a4,Portable Camp Stove,49.99,Outdoor,Cook your meals outdoors with this camp stove.,"This portable camp stove is perfect for camping trips, offering easy-to-use features and reliable performance.",CAMPSTOVE15,7/15/24,camp_stove.jpg
661ffc56e1f62fb6365220a5,661ffc56e1f62fb6365220a5,Smart Home Security System,399.99,Home,Protect your home with this advanced security system.,"This smart security system offers comprehensive protection with cameras, sensors, and alerts for peace of mind.",SECURITY20,9/1/24,security_system.jpg
661ffc56e1f62fb6365220a6,661ffc56e1f62fb6365220a6,Noise-Cancelling Earbuds,99.99,Electronics,Enjoy your favorite tunes without distractions.,These earbuds offer noise-cancelling technology and high-quality sound for an immersive listening experience.,EARBUDS20,8/25/24,noise_cancelling_earbuds.jpg
661ffc56e1f62fb6365220a7,661ffc56e1f62fb6365220a7,Wireless Phone Charger,24.99,Electronics,Charge your phone wirelessly with ease.,This wireless charger offers fast charging for your smartphone and a sleek design for easy portability.,PHONECHARGER15,8/15/24,phone_charger.jpg
661ffc56e1f62fb6365220a8,661ffc56e1f62fb6365220a8,Electric Toothbrush,59.99,Health,Keep your teeth clean and healthy.,This electric toothbrush offers superior cleaning and various brushing modes for a personalized experience.,TOOTHBRUSH15,9/1/24,electric_toothbrush.jpg
661ffc56e1f62fb6365220a9,661ffc56e1f62fb6365220a9,Adjustable Dumbbells,199.99,Fitness,Get a full-body workout with these adjustable dumbbells.,"These dumbbells offer a range of weights in one compact set, making them perfect for home gyms.",DUMBBELLS20,9/15/24,adjustable_dumbbells.jpg
661ffc56e1f62fb6365220aa,661ffc56e1f62fb6365220aa,Smart Garden,299.99,Home,Grow your own plants with this smart garden.,This smart garden provides everything you need to grow fresh herbs and vegetables indoors.,GARDEN20,8/15/24,smart_garden.jpg
661ffc56e1f62fb6365220ab,661ffc56e1f62fb6365220ab,Portable Air Conditioner,299.99,Home,Stay cool with this portable air conditioner.,"This air conditioner offers adjustable settings and easy portability, making it perfect for keeping your home comfortable during hot weather.",AC15,7/30/24,portable_ac.jpg
661ffc56e1f62fb6365220ac,661ffc56e1f62fb6365220ac,Bluetooth Headset,79.99,Electronics,Stay hands-free with this Bluetooth headset.,"This headset offers clear sound quality and a comfortable fit, making it ideal for calls and music on the go.",HEADSET10,9/1/24,bluetooth_headset.jpg
661ffc56e1f62fb6365220ad,661ffc56e1f62fb6365220ad,Luxury Watch,349.99,Fashion,Add a touch of luxury to your outfit.,"This watch features a classic design with modern technology, making it a perfect accessory for any occasion.",WATCH20,9/10/24,luxury_watch.jpg
661ffc56e1f62fb6365220ae,661ffc56e1f62fb6365220ae,Gaming Headset,99.99,Electronics,Enhance your gaming experience with this headset.,"This gaming headset offers surround sound and a noise-cancelling microphone, perfect for online gaming.",GAMINGHEADSET10,9/1/24,gaming_headset.jpg
661ffc56e1f62fb6365220af,661ffc56e1f62fb6365220af,Ergonomic Mouse,39.99,Electronics,Work comfortably with this ergonomic mouse.,"This mouse features customizable buttons and an ergonomic design, perfect for long work sessions or gaming.",MOUSE15,7/15/24,ergonomic_mouse.jpg
661fff08e1f62fb6365220b0,661fff08e1f62fb6365220b0,Laptop Cooling Pad,29.99,Electronics,Keep your laptop cool and running efficiently.,This cooling pad features adjustable fans and ergonomic design to help your laptop stay cool during heavy use.,COOLPAD10,8/20/24,cooling_pad.jpg
661fff08e1f62fb6365220b1,661fff08e1f62fb6365220b1,USB-C Hub,39.99,Electronics,Expand your laptop's connectivity with this USB-C hub.,"This hub offers multiple ports, including HDMI, USB, and Ethernet, allowing you to connect multiple devices to your laptop.",HUB15,8/25/24,usb_c_hub.jpg
661fff08e1f62fb6365220b2,661fff08e1f62fb6365220b2,Portable SSD,89.99,Electronics,Store your data quickly and securely with this portable SSD.,"This solid-state drive offers high-speed data transfer and durable design, perfect for on-the-go use.",SSD20,9/1/24,portable_ssd.jpg
661fff08e1f62fb6365220b3,661fff08e1f62fb6365220b3,Laptop Stand,19.99,Accessories,Improve your laptop's ergonomics with this stand.,This adjustable laptop stand helps you maintain proper posture and provides better ventilation for your laptop.,STAND10,7/30/24,laptop_stand.jpg
661fff08e1f62fb6365220b4,661fff08e1f62fb6365220b4,Wireless Mouse,24.99,Electronics,Work comfortably with this wireless mouse.,This mouse features smooth tracking and customizable buttons for a seamless experience during work or play.,MOUSE10,8/15/24,wireless_mouse.jpg
661fff08e1f62fb6365220b5,661fff08e1f62fb6365220b5,Laptop Sleeve,14.99,Accessories,Protect your laptop with this padded sleeve.,"This laptop sleeve offers reliable protection against scratches and minor impacts, with a slim design for easy carrying.",SLEEVE5,7/20/24,laptop_sleeve.jpg
661fff08e1f62fb6365220b6,661fff08e1f62fb6365220b6,External Hard Drive,69.99,Electronics,Backup your data with this external hard drive.,"This hard drive provides ample storage space and fast data transfer, making it ideal for backups and large files.",HARDDRIVE15,8/10/24,external_hard_drive.jpg
661fff08e1f62fb6365220b7,661fff08e1f62fb6365220b7,Laptop Backpack,49.99,Accessories,Carry your laptop and essentials with this backpack.,"This backpack offers padded compartments for your laptop and other items, ensuring safe and comfortable travel.",BACKPACK15,8/5/24,laptop_backpack.jpg
661fff08e1f62fb6365220b8,661fff08e1f62fb6365220b8,Mechanical Keyboard,79.99,Electronics,Experience precise typing with this mechanical keyboard.,"This keyboard features tactile switches and customizable RGB lighting, perfect for typing enthusiasts and gamers.",KEYBOARD20,8/30/24,mechanical_keyboard.jpg
661fff08e1f62fb6365220b9,661fff08e1f62fb6365220b9,Dual Monitor Stand,39.99,Accessories,Organize your desk with this dual monitor stand.,This stand holds two monitors securely and provides adjustable height and tilt for optimal viewing angles.,STAND20,8/1/24,dual_monitor_stand.jpg
66200047e1f62fb6365220ba,66200047e1f62fb6365220ba,Computer Desk,149.99,Furniture,Organize your workspace with this stylish computer desk.,"This desk offers ample space for your computer and accessories, with a sleek design and storage options to keep your workspace tidy.",DESK15,9/15/24,computer_desk.jpg
66200047e1f62fb6365220bb,66200047e1f62fb6365220bb,Computer Monitor,199.99,Electronics,Experience high-quality visuals with this computer monitor.,"This monitor features a crisp display and adjustable stand, perfect for gaming, work, or entertainment.",MONITOR20,8/30/24,computer_monitor.jpg
66200047e1f62fb6365220bc,66200047e1f62fb6365220bc,Computer Chair,129.99,Furniture,Sit comfortably during long work sessions with this computer chair.,This chair offers ergonomic support and adjustable features for a personalized seating experience.,CHAIR10,7/20/24,computer_chair.jpg
66200047e1f62fb6365220bd,66200047e1f62fb6365220bd,Computer Speakers,79.99,Electronics,Enhance your audio experience with these computer speakers.,"These speakers provide clear sound quality and deep bass, perfect for music, games, and movies.",SPEAKERS15,8/15/24,computer_speakers.jpg
66200047e1f62fb6365220be,66200047e1f62fb6365220be,Computer Glasses,29.99,Accessories,Protect your eyes from blue light with these computer glasses.,These glasses feature blue light filtering lenses to reduce eye strain during long hours at the computer.,GLASSES5,8/5/24,computer_glasses.jpg